Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,11.6.3 Percentage of the solid wasted will be segregate by technical guidance,,Percent,,50
2016,11.6.3 Percentage of the solid wasted will be segregate by technical guidance,,Percent,,50
2017,11.6.3 Percentage of the solid wasted will be segregate by technical guidance,,Percent,,50
2018,11.6.3 Percentage of the solid wasted will be segregate by technical guidance,,Percent,,50
2019,11.6.3 Percentage of the solid wasted will be segregate by technical guidance,,Percent,,55
2020,11.6.3 Percentage of the solid wasted will be segregate by technical guidance,,Percent,,55
