Indicator
#1-2-1
#1-2-2
#1-3-1
#1-4-1
#10-1-1
#10-2-1
#10-4-1
#10-a-1
#10-b-1
#11-6-1
#11-6-2
#11-6-3
#11-6-4
#12-4-1
#12-4-2
#12-4-3
#12-5-1
#13-1-1
#13-2-1
#13-2-2
#13-3-1
#13-3-2
#14-1-1
#14-2-1
#14-2-2
#14-5-1
#14-7-1
#14-b-1
#15-1-1
#15-1-2
#15-1-3
#15-2-1
#15-3-1
#15-5-1
#15-7-1
#15-9-2
#15-b-1
#16-3-1
#16-7-1
#16-9-1
#17-10-1
#17-17-1
#17-18-1
#17-18-2
#17-19-1
#17-3-1
#17-6-1
#17-8-1
#17-9-1
#17-9-2
#18-1-1
#18-2-1
#18-2-2
#18-3-1
#18-3-2
#18-3-3
#2-2-1
#2-2-2
#2-3-1
#2-4-1
#2-5-1
#2-5-2
#2-a-1
#3-1-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-4-1
#3-4-2
#3-4-3
#3-5-1
#3-5-2
#3-6-1
#3-6-2
#3-7-1
#3-8-1
#3-8-2
#3-9-1
#3-9-2
#3-a-1
#3-a-2
#3-c-1
#4-1-1-1
#4-1-1-2
#4-2-1
#4-2-2
#4-3-1
#4-3-2
#4-5-1
#4-5-2
#4-6-1
#4-a-1
#4-a-2
#4-a-3
#4-c-1
#4-c-2
#4-c-3
#4-c-4
#4-c-5Percentage
#5-1-1
#5-2-1
#5-2-2
#5-3-1
#5-4-1
#5-5-1
#5-5-2
#5-5-3
#5-6-1
#5-6-2
#5-c-1
#5-c-2
#6-1-1
#6-2-1
#6-3-1
#6-4-1
#6-a-1
#7-1-1
#7-1-2
#7-2-1
#7-3-1
#8-1-1
#8-2-2-1
#8-2-2-2
#8-2-2-3
#8-2-3-1
#8-2-3-2
#8-9-1
#8-9-2
#8-a-1
#9-1-1
#9-1-2
#9-1-3
#9-2-1
#9-5-1
#9-a-1
#9-c-1
