Indicator,Disaggregation combinations using this value
#1-2-1,1
#10-4-1,1
#18-2-1,1
#2-2-1,1
#2-2-2,1
#3-1-1-1,3
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-3-1,1
#3-3-2,1
#4-1-1-1,3
#4-1-1-2,3
#4-5-2,1
#5-5-1,1
