Indicator,Disaggregation combinations using this value
#2-2-1,1
#2-2-2,1
#3-1-1-1,27
#3-3-1,1
#3-3-2,2
#3-a-1,1
#4-1-1-1,29
#4-1-1-2,29
#4-3-1,1
#4-6-1,11
