Value,km,en,Disaggregation combinations using this value,Number of indicators
R,ជនបទ,Rural,22,15
REMOTE,តំបន់ដាច់ស្រយាល,Remote Area,6,2
U,ទីប្រជុំជន,Urban,22,15
