Indicator,Disaggregation combinations using this value
#10-4-1,25
#10-a-1,1
#15-5-1,1
#15-7-1,1
#15-9-2,1
#17-10-1,1
#17-19-1,1
#17-8-1,1
#18-2-1,26
#18-2-2,1
#18-3-1,1
#18-3-2,1
#18-3-3,1
#2-5-1,1
#5-1-1,1
#5-4-1,1
#5-6-2,1
#5-c-1,1
#5-c-2,1
#7-1-2,1
#8-2-3-1,1
#8-2-3-2,1
#9-1-2,2
