Indicator
#1-2-2
#2-2-1
#2-2-2
#3-3-1
#3-3-2
#3-6-2
#3-8-1
#3-8-2
#3-a-1
#3-a-2
#4-3-1
#4-3-2
#4-6-1
#5-2-1
#5-2-2
#5-3-1
#5-6-1
