Value,km,en,Disaggregation combinations using this value,Number of indicators
AGG_2_3,អនុវិទ្យាល័យ (អនុវិទ្យាល័យនិងមធ្យមសិក្សាទុតិយភូមិ),Secondary education (lower and upper secondary education),1,1
ISCED11_02,ការអប់រំបឋម,Pre-primary education,1,1
ISCED11_1,ការអប់រំ​បឋម,Primary education,1,1
ISCED11_3,មធ្យមសិក្សាទុតិយភូមិ,Upper secondary education,28,1
