Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2007,N_KH_160701_01,,F,PT,,32
2008,N_KH_160701_01,,F,PT,,34
2009,N_KH_160701_01,,F,PT,,33
2010,N_KH_160701_01,,F,PT,,34
2011,N_KH_160701_01,,F,PT,,34
2012,N_KH_160701_01,,F,PT,,35
2013,N_KH_160701_01,,F,PT,,37
2014,N_KH_160701_01,,F,PT,,38
2015,N_KH_160701_01,,F,PT,,39
2016,N_KH_160701_01,,F,PT,,40
2017,N_KH_160701_01,,F,PT,,41
2018,N_KH_160701_01,,F,PT,,42
2019,N_KH_160701_01,,F,PT,,43
2020,N_KH_160701_01,,F,PT,,44
