Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,DC_TOF_INFRAL,,PT,,1.65
2017,DC_TOF_INFRAL,,PT,,1.54
2018,DC_TOF_INFRAL,,PT,,1.44
2019,DC_TOF_INFRAL,,PT,,1.34
2020,DC_TOF_INFRAL,,PT,,1.25
