Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,N_KH_08020202_01,,PT,,-9
2016,N_KH_08020202_01,,PT,,4
2017,N_KH_08020202_01,,PT,,-11
2018,N_KH_08020202_01,,PT,,6
2019,N_KH_08020202_01,,PT,,5
2020,N_KH_08020202_01,,PT,,-3
