Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
1993,SI_POV_NAHC,,,PT,,39.0
1997,SI_POV_NAHC,,,PT,,36.1
1999,SI_POV_NAHC,,,PT,,35.9
2004,SI_POV_NAHC,,,PT,,34.68
2007,SI_POV_NAHC,,,PT,,47.8
2008,SI_POV_NAHC,,,PT,,29.9
2009,SI_POV_NAHC,,,PT,,22.9
2010,SI_POV_NAHC,,,PT,,21.1
2011,SI_POV_NAHC,,,PT,,19.8
2012,SI_POV_NAHC,,,PT,,18.9
2013,SI_POV_NAHC,,,PT,,16.0
2014,SI_POV_NAHC,,,PT,,13.5
2019,SI_POV_NAHC,,,PT,,17.8
1993,SI_POV_NAHC,,U,PT,,36.62
1997,SI_POV_NAHC,,U,PT,,29.9
1999,SI_POV_NAHC,,U,PT,,25.2
2004,SI_POV_NAHC,,U,PT,,24.73
2007,SI_POV_NAHC,,U,PT,,41.0
2008,SI_POV_NAHC,,U,PT,,30.5
2009,SI_POV_NAHC,,U,PT,,19.3
2010,SI_POV_NAHC,,U,PT,,17.0
2011,SI_POV_NAHC,,U,PT,,22.5
2012,SI_POV_NAHC,,U,PT,,14.5
2013,SI_POV_NAHC,,U,PT,,13.9
2014,SI_POV_NAHC,,U,PT,,12.8
2019,SI_POV_NAHC,,U,PT,,12.6
1993,SI_POV_NAHC,,R,PT,,43.12
1997,SI_POV_NAHC,,R,PT,,40.1
1999,SI_POV_NAHC,,R,PT,,40.1
2004,SI_POV_NAHC,,R,PT,,39.18
2007,SI_POV_NAHC,,R,PT,,52.3
2008,SI_POV_NAHC,,R,PT,,31.9
2009,SI_POV_NAHC,,R,PT,,24.6
2010,SI_POV_NAHC,,R,PT,,22.7
2011,SI_POV_NAHC,,R,PT,,20.7
2012,SI_POV_NAHC,,R,PT,,20.0
2013,SI_POV_NAHC,,R,PT,,15.7
2014,SI_POV_NAHC,,R,PT,,12.5
2019,SI_POV_NAHC,,R,PT,,22.8
2007,SI_POV_NAHC,KH12,,PT,KH12,19.1
2008,SI_POV_NAHC,KH12,,PT,KH12,13.4
2009,SI_POV_NAHC,KH12,,PT,KH12,12.8
2010,SI_POV_NAHC,KH12,,PT,KH12,12.4
2011,SI_POV_NAHC,KH12,,PT,KH12,10.9
2012,SI_POV_NAHC,KH12,,PT,KH12,16.25
2013,SI_POV_NAHC,KH12,,PT,KH12,20.17
2014,SI_POV_NAHC,KH12,,PT,KH12,18.7
2019,SI_POV_NAHC,KH12,,PT,KH12,4.2
