Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,0,,Percent,12.4.3 Effectiveness management of hazardous waste and biological and radioactive waste
2016,0,,Percent,12.4.3 Effectiveness management of hazardous waste and biological and radioactive waste
2017,0,,Percent,12.4.3 Effectiveness management of hazardous waste and biological and radioactive waste
2018,3,,Percent,12.4.3 Effectiveness management of hazardous waste and biological and radioactive waste
2019,3,,Percent,12.4.3 Effectiveness management of hazardous waste and biological and radioactive waste
2020,5,,Percent,12.4.3 Effectiveness management of hazardous waste and biological and radioactive waste
