Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,0.54,,Percent,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed"
2016,0.62,,Percent,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed"
2017,0.86,,Percent,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed"
2018,0.94,,Percent,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed"
2019,1.35,,Percent,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed"
2020,1.53,,Percent,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed"
