Year,Value,GeoCode,UNIT_MEASURE,SERIES
2005,1769327,,Number,"9.1.2 Air transport, international passengers carried"
2006,2340235,,Number,"9.1.2 Air transport, international passengers carried"
2007,2979116,,Number,"9.1.2 Air transport, international passengers carried"
2008,2878513,,Number,"9.1.2 Air transport, international passengers carried"
2009,2524294,,Number,"9.1.2 Air transport, international passengers carried"
2010,3051601,,Number,"9.1.2 Air transport, international passengers carried"
2011,3480843,,Number,"9.1.2 Air transport, international passengers carried"
2012,3997331,,Number,"9.1.2 Air transport, international passengers carried"
2013,4606281,,Number,"9.1.2 Air transport, international passengers carried"
2014,5168687,,Number,"9.1.2 Air transport, international passengers carried"
2015,5606317,,Number,"9.1.2 Air transport, international passengers carried"
2016,6201338,,Number,"9.1.2 Air transport, international passengers carried"
2017,6877284,,Number,"9.1.2 Air transport, international passengers carried"
2018,7626908,,Number,"9.1.2 Air transport, international passengers carried"
2019,8458241,,Number,"9.1.2 Air transport, international passengers carried"
2020,9380189,,Number,"9.1.2 Air transport, international passengers carried"
2005,158384,,Number,"9.1.2 Air transport, domestic passengers carried"
2006,159478,,Number,"9.1.2 Air transport, domestic passengers carried"
2007,187066,,Number,"9.1.2 Air transport, domestic passengers carried"
2008,182328,,Number,"9.1.2 Air transport, domestic passengers carried"
2009,143649,,Number,"9.1.2 Air transport, domestic passengers carried"
2010,136678,,Number,"9.1.2 Air transport, domestic passengers carried"
2011,144465,,Number,"9.1.2 Air transport, domestic passengers carried"
2012,172223,,Number,"9.1.2 Air transport, domestic passengers carried"
2013,214418,,Number,"9.1.2 Air transport, domestic passengers carried"
2014,298904,,Number,"9.1.2 Air transport, domestic passengers carried"
2015,436167,,Number,"9.1.2 Air transport, domestic passengers carried"
2016,423478,,Number,"9.1.2 Air transport, domestic passengers carried"
2017,432795,,Number,"9.1.2 Air transport, domestic passengers carried"
2018,442316,,Number,"9.1.2 Air transport, domestic passengers carried"
2019,452047,,Number,"9.1.2 Air transport, domestic passengers carried"
2020,461992,,Number,"9.1.2 Air transport, domestic passengers carried"
