Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,0.038,,Percent,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems
2017,0.038,,Percent,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems
2018,0.036,,Percent,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems
2019,0.031,,Percent,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems
2020,0.029,,Percent,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems
