Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,1425,,USD,10.b.1.  Total official development assistance for Cambodia
2016,1425,,USD,10.b.1.  Total official development assistance for Cambodia
2017,1425,,USD,10.b.1.  Total official development assistance for Cambodia
2018,1425,,USD,10.b.1.  Total official development assistance for Cambodia
2019,1425,,USD,10.b.1.  Total official development assistance for Cambodia
2020,1425,,USD,10.b.1.  Total official development assistance for Cambodia
