Year,Value,GeoCode,UNIT_MEASURE,SERIES
2004,46.8,,Percent,4.1.1.1 Completion rate Grade 6
2005,42.9,,Percent,4.1.1.1 Completion rate Grade 6
2006,90.1,,Percent,4.1.1.1 Completion rate Grade 6
2007,86.2,,Percent,4.1.1.1 Completion rate Grade 6
2008,85.6,,Percent,4.1.1.1 Completion rate Grade 6
2009,83.2,,Percent,4.1.1.1 Completion rate Grade 6
2010,85.3,,Percent,4.1.1.1 Completion rate Grade 6
2011,89.7,,Percent,4.1.1.1 Completion rate Grade 6
2012,87.4,,Percent,4.1.1.1 Completion rate Grade 6
2013,88.9,,Percent,4.1.1.1 Completion rate Grade 6
2014,84.1,,Percent,4.1.1.1 Completion rate Grade 6
2015,80.6,,Percent,4.1.1.1 Completion rate Grade 6
2016,79.9,,Percent,4.1.1.1 Completion rate Grade 6
2017,79.1,,Percent,4.1.1.1 Completion rate Grade 6
2018,82.1,,Percent,4.1.1.1 Completion rate Grade 6
2019,83.3,,Percent,4.1.1.1 Completion rate Grade 6
