Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,50,,Percent,11.6.3 Percentage of the solid wasted will be segregate by technical guidance
2016,50,,Percent,11.6.3 Percentage of the solid wasted will be segregate by technical guidance
2017,50,,Percent,11.6.3 Percentage of the solid wasted will be segregate by technical guidance
2018,50,,Percent,11.6.3 Percentage of the solid wasted will be segregate by technical guidance
2019,55,,Percent,11.6.3 Percentage of the solid wasted will be segregate by technical guidance
2020,55,,Percent,11.6.3 Percentage of the solid wasted will be segregate by technical guidance
