Year,Value,GeoCode,UNIT_MEASURE,SERIES
2000,3482,,Number,17.8.1 Internet users
2001,5096,,Number,17.8.1 Internet users
2002,6564,,Number,17.8.1 Internet users
2003,7152,,Number,17.8.1 Internet users
2004,7671,,Number,17.8.1 Internet users
2005,8632,,Number,17.8.1 Internet users
2006,9049,,Number,17.8.1 Internet users
2007,11779,,Number,17.8.1 Internet users
2008,20108,,Number,17.8.1 Internet users
2009,291589,,Number,17.8.1 Internet users
2010,193858,,Number,17.8.1 Internet users
2011,1689389,,Number,17.8.1 Internet users
2012,2706922,,Number,17.8.1 Internet users
2013,3861979,,Number,17.8.1 Internet users
2014,5025945,,Number,17.8.1 Internet users
2015,6443976,,Number,17.8.1 Internet users
2016,8099132,,Number,17.8.1 Internet users
2017,10841728,,Number,17.8.1 Internet users
2018,13611398,,Number,17.8.1 Internet users
