Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,1.65,,Percent,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure
2017,1.54,,Percent,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure
2018,1.44,,Percent,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure
2019,1.34,,Percent,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure
2020,1.25,,Percent,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure
