Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,44.11,,Percent,"9.c.1 Proportion of population covered by a mobile network, by technology"
2016,51.83,,Percent,"9.c.1 Proportion of population covered by a mobile network, by technology"
2017,68.4,,Percent,"9.c.1 Proportion of population covered by a mobile network, by technology"
2018,84.7,,Percent,"9.c.1 Proportion of population covered by a mobile network, by technology"
2019,100.38,,Percent,"9.c.1 Proportion of population covered by a mobile network, by technology"
2020,93.93,,Percent,"9.c.1 Proportion of population covered by a mobile network, by technology"
