Year,SERIES,តំបន់យោង,កម្រិត​ការ​អប់រំ,UNIT_MEASURE,GeoCode,Value
2015,៤.គ.៣ ភាគរយគូ្របឋមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ការអប់រំ​បឋម,ភាគរយ,,61.0
2016,៤.គ.៣ ភាគរយគូ្របឋមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ការអប់រំ​បឋម,ភាគរយ,,70.2
2017,៤.គ.៣ ភាគរយគូ្របឋមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ការអប់រំ​បឋម,ភាគរយ,,72.1
2018,៤.គ.៣ ភាគរយគូ្របឋមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ការអប់រំ​បឋម,ភាគរយ,,73.0
2019,៤.គ.៣ ភាគរយគូ្របឋមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ការអប់រំ​បឋម,ភាគរយ,,74.4
2020,៤.គ.៣ ភាគរយគូ្របឋមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ការអប់រំ​បឋម,ភាគរយ,,75.8
