Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,N_KH_040c05_01,,PT,,2.0
2016,N_KH_040c05_01,,PT,,3.9
2017,N_KH_040c05_01,,PT,,5.9
2018,N_KH_040c05_01,,PT,,9.5
2019,N_KH_040c05_01,,PT,,11.2
2020,N_KH_040c05_01,,PT,,12.9
