Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,"17.9.1 Total financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to Cambodia",,Percent,,1.31
2017,"17.9.1 Total financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to Cambodia",,Percent,,1.23
2018,"17.9.1 Total financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to Cambodia",,Percent,,1.15
2019,"17.9.1 Total financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to Cambodia",,Percent,,1.07
2020,"17.9.1 Total financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to Cambodia",,Percent,,1.0
