Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,"5.1.1 Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",,Number,,50
2018,"5.1.1 Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",,Number,,55
