Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,"6.4.1 By 2025, all Cambodian people living in urban areas have access to clean water sustainably with quality and affordable price",,Percent,,83
2017,"6.4.1 By 2025, all Cambodian people living in urban areas have access to clean water sustainably with quality and affordable price",,Percent,,85
2018,"6.4.1 By 2025, all Cambodian people living in urban areas have access to clean water sustainably with quality and affordable price",,Percent,,87
2019,"6.4.1 By 2025, all Cambodian people living in urban areas have access to clean water sustainably with quality and affordable price",,Percent,,90
2020,"6.4.1 By 2025, all Cambodian people living in urban areas have access to clean water sustainably with quality and affordable price",,Percent,,93
