Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,N_KH_050c02_01,,NUMBER,,6
2017,N_KH_050c02_01,,NUMBER,,7
2018,N_KH_050c02_01,,NUMBER,,6
2019,N_KH_050c02_01,,NUMBER,,8
2020,N_KH_050c02_01,,NUMBER,,9
