Year,SERIES,តំបន់យោង,អាយុ,UNIT_MEASURE,GeoCode,Value
2015,៣.ក.២ ប្រេវ៉ាឡង់នៃការប្រើប្រាស់ថ្នាំជក់ក្នុងចំណោមយុវវ័យអាយុពី១៣ដល់១៥ឆ្នាំ,,អាយុពី ១៣ ទៅ ១៥ ឆ្នាំ,ភាគរយ,,6.3
2020,៣.ក.២ ប្រេវ៉ាឡង់នៃការប្រើប្រាស់ថ្នាំជក់ក្នុងចំណោមយុវវ័យអាយុពី១៣ដល់១៥ឆ្នាំ,,អាយុពី ១៣ ទៅ ១៥ ឆ្នាំ,ភាគរយ,,5.0
